BIL,KOD PROJEK & NAMA PROJEK,KOD PEMAJU & NAMA PEMAJU,NO. PERMIT,STATUS PROJEK KESELURUHAN,RINGKASAN PROJEK,Scraped_Date,Scraped_Timestamp
1,"6575-52
BANDAR SCIENTEX JASIN PRESINT 2","6575
SCIENTEX HEIGHTS SDN. BHD.",6575-52/11-2027/0946(N)-(L),BELUM MULA,,2025-12-12,2025-12-12 19:44:55
2,"6575-51
BANDAR SCIENTEX JASIN PRESINT 2","6575
SCIENTEX HEIGHTS SDN. BHD.",6575-51/07-2027/0544(N)-(L),LANCAR,,2025-12-12,2025-12-12 19:44:55
3,"6575-50
TAMAN SCIENTEX JASIN MUTIARA","6575
SCIENTEX HEIGHTS SDN. BHD.",6575-50/04-2027/0328(N)-(L),LANCAR,,2025-12-12,2025-12-12 19:44:55
4,"6575-49
BANDAR SCIENTEX JASIN PRESINT 2","6575
SCIENTEX HEIGHTS SDN. BHD.",6575-49/03-2027/0257(N)-(L),LANCAR,,2025-12-12,2025-12-12 19:44:55
5,"6575-48
BANDAR SCIENTEX JASIN PRESINT 2","6575
SCIENTEX HEIGHTS SDN. BHD.",6575-48/01-2027/0037(A)-(L),LANCAR,,2025-12-12,2025-12-12 19:44:55
6,"6575-47
BANDAR SCIENTEX JASIN PRESINT 1","6575
SCIENTEX HEIGHTS SDN. BHD.",6575-47/08-2026/0710(N)-(L),LANCAR,,2025-12-12,2025-12-12 19:44:55
7,"6575-46
BANDAR SCIENTEX JASIN PRESINT 1","6575
SCIENTEX HEIGHTS SDN. BHD.",6575-46/06-2026/0566(N)-(L),LANCAR,,2025-12-12,2025-12-12 19:44:55
8,"6575-45
TAMAN SCIENTEX JASIN MUTIARA","6575
SCIENTEX HEIGHTS SDN. BHD.",6575-45/06-2026/0493(N)-(L),LANCAR,,2025-12-12,2025-12-12 19:44:55
9,"6575-44
SCIENTEX BANDAR JASIN","6575
SCIENTEX HEIGHTS SDN. BHD.",6575-44/05-2026/0399(A)-(L),LANCAR,,2025-12-12,2025-12-12 19:44:55
10,"6575-43
TAMAN SCIENTEX JASIN MUTIARA","6575
SCIENTEX HEIGHTS SDN. BHD.",6575-43/05-2026/0362(N)-(L),LANCAR,,2025-12-12,2025-12-12 19:44:55
11,"6575-42
SCIENTEX BANDAR JASIN","6575
SCIENTEX HEIGHTS SDN. BHD.",6575-42/02-2026/0176(A)-(L),LANCAR,,2025-12-12,2025-12-12 19:44:55
12,"6575-41
SCIENTEX BANDAR JASIN","6575
SCIENTEX HEIGHTS SDN. BHD.",6575-41/11-2025/1238(A)-(L),SIAP DENGAN CCC,,2025-12-12,2025-12-12 19:44:55
13,"6575-40
SCIENTEX BANDAR JASIN","6575
SCIENTEX HEIGHTS SDN. BHD.",6575-40/10-2025/1123(A)-(L),SIAP DENGAN CCC,,2025-12-12,2025-12-12 19:44:55
14,"6575-39
TAMAN SCIENTEX JASIN MUTIARA","6575
SCIENTEX HEIGHTS SDN. BHD.",6575-39/07-2025/0787(A)-(L),SIAP DENGAN CCC,,2025-12-12,2025-12-12 19:44:55
15,"6575-38
TAMAN BUKIT TAMBUN PERDANA 2","6575
SCIENTEX HEIGHTS SDN. BHD.",6575-38/03-2025/0303(N)-(L),SIAP DENGAN CCC,,2025-12-12,2025-12-12 19:44:55
16,"6575-37
SCIENTEX BANDAR JASIN","6575
SCIENTEX HEIGHTS SDN. BHD.",6575-37/02-2025/0204(A)-(L),SIAP DENGAN CCC,,2025-12-12,2025-12-12 19:44:55
17,"6575-36
SCIENTEX JASIN","6575
SCIENTEX HEIGHTS SDN. BHD.",6575-36/01-2025/0098(A)-(L),SIAP DENGAN CCC,,2025-12-12,2025-12-12 19:44:55
18,"6575-35
SCIENTEX BANDAR JASIN","6575
SCIENTEX HEIGHTS SDN. BHD.",6575-35/01-2025/0033(N)-(L),SIAP DENGAN CCC,,2025-12-12,2025-12-12 19:44:55
